# b'S_10_45_M'
# q I errors
7.922247367879432095e-03 6.083973884582519531e+00 8.088997565209865570e-03
8.034619602989147985e-03 5.930074691772460938e+00 7.880211807787418365e-03
8.146991838098860406e-03 5.816094875335693359e+00 7.739356253296136856e-03
8.259364073208576296e-03 5.689134597778320312e+00 7.587721105664968491e-03
8.371736308318292186e-03 5.573329925537109375e+00 7.469136267900466919e-03
8.484108543428004606e-03 5.443040847778320312e+00 7.329542189836502075e-03
8.596480778537720496e-03 5.338253498077392578e+00 7.200482301414012909e-03
8.708853013647436386e-03 5.223833084106445312e+00 7.091903593391180038e-03
8.821225248757148807e-03 5.100268363952636719e+00 6.965798325836658478e-03
8.933597483866864697e-03 4.999879360198974609e+00 6.830235943198204041e-03
9.045969718976580587e-03 4.889446258544921875e+00 6.711359601467847824e-03
9.158341954086293007e-03 4.802922725677490234e+00 6.619207095354795456e-03
9.270714189196008898e-03 4.695186614990234375e+00 6.493953522294759750e-03
9.383086424305724788e-03 4.607264041900634766e+00 6.413328927010297775e-03
9.495458659415437208e-03 4.526625633239746094e+00 6.325254216790199280e-03
9.607830894525153098e-03 4.430020332336425781e+00 6.209600251168012619e-03
9.720203129634868988e-03 4.342107295989990234e+00 6.124423816800117493e-03
9.832575364744581409e-03 4.253359317779541016e+00 6.032397970557212830e-03
9.944947599854297299e-03 4.168049812316894531e+00 5.920790135860443115e-03
1.005731983496401319e-02 4.100697994232177734e+00 5.858980584889650345e-03
1.016969207007372561e-02 4.016647338867187500e+00 5.759732332080602646e-03
1.028206430518344150e-02 3.944412231445312500e+00 5.676028784364461899e-03
1.039443654029315565e-02 3.876961946487426758e+00 5.623198579996824265e-03
1.050680877540286981e-02 3.808806419372558594e+00 5.531892646104097366e-03
1.061918101051258570e-02 3.738716363906860352e+00 5.450404714792966843e-03
1.073155324562229986e-02 3.676311969757080078e+00 5.389322526752948761e-03
1.084392548073201401e-02 3.610622882843017578e+00 5.318908952176570892e-03
1.095629771584172990e-02 3.545394182205200195e+00 5.230909213423728943e-03
1.106866995095144406e-02 3.478825330734252930e+00 5.179039668291807175e-03
1.118104218606115821e-02 3.423910379409790039e+00 5.111008882522583008e-03
1.129341442117087410e-02 3.357409477233886719e+00 5.019980482757091522e-03
1.140578665628058826e-02 3.296806573867797852e+00 4.969014786183834076e-03
1.151815889139030241e-02 3.251642227172851562e+00 4.912302363663911819e-03
1.163053112650001830e-02 3.201805114746093750e+00 4.839664790779352188e-03
1.174290336160973246e-02 3.141895055770874023e+00 4.787365440279245377e-03
1.185527559671944661e-02 3.098912954330444336e+00 4.734298214316368103e-03
1.196764783182916250e-02 3.046270847320556641e+00 4.661861807107925415e-03
1.208002006693887666e-02 2.994533538818359375e+00 4.611657466739416122e-03
1.219239230204859081e-02 2.951811313629150391e+00 4.562615416944026947e-03
1.230476453715830670e-02 2.896558046340942383e+00 4.489935468882322311e-03
1.241713677226802086e-02 2.853422164916992188e+00 4.451031796634197235e-03
1.252950900737773501e-02 2.817114830017089844e+00 4.413066897541284561e-03
1.264188124248745090e-02 2.767792224884033203e+00 4.330499097704887390e-03
1.275425347759716506e-02 2.728871583938598633e+00 4.291363991796970367e-03
1.286662571270687921e-02 2.691580295562744141e+00 4.250587429851293564e-03
1.297899794781659510e-02 2.645442008972167969e+00 4.181685857474803925e-03
1.309137018292630752e-02 2.607375860214233398e+00 4.144844133406877518e-03
1.320374241803602341e-02 2.567189216613769531e+00 4.102358128875494003e-03
1.331611465314573930e-02 2.536699771881103516e+00 4.047960042953491211e-03
1.342848688825545173e-02 2.495744228363037109e+00 4.001725930720567703e-03
1.354085912336516762e-02 2.461064577102661133e+00 3.971797879785299301e-03
